CowTagID,Location,sum_total,sum_total_dead,sum_total_alive
C1,Cabral,29,14,15
C10,Cabral,11,8,3
C11,Cabral,2,1,1
C12,Cabral,86,48,38
C13,Cabral,16,13,3
C14,Cabral,13,7,6
C15,Cabral,14,7,7
C16,Cabral,10,3,7
C17,Cabral,42,29,13
C18,Cabral,2,1,1
C19,Cabral,0,0,0
C2,Cabral,15,11,4
C20,Cabral,146,68,78
C3,Cabral,1,0,1
C4,Cabral,2,0,2
C5,Cabral,6,6,0
C6,Cabral,18,9,9
C7,Cabral,8,5,3
C8,Cabral,9,4,5
C9,Cabral,3,1,2
V1,Varari,93,71,22
V10,Varari,62,41,21
V11,Varari,58,43,15
V12,Varari,131,119,12
V13,Varari,8,4,4
V14,Varari,2,0,2
V15,Varari,33,26,7
V16,Varari,22,11,11
V17,Varari,7,3,4
V18,Varari,13,10,3
V19,Varari,5,2,3
V2,Varari,96,52,44
V20,Varari,4,4,0
V3,Varari,2,2,0
V4,Varari,27,17,10
V5,Varari,44,26,18
V6,Varari,32,18,14
V7,Varari,16,4,12
V8,Varari,2,2,0
V9,Varari,19,11,8
